,id,ad,education,ofjobs,yearsexp,honors,volunteer,military,empholes,occupspecific,occupbroad,workinschool,email,computerskills,specialskills,firstname,sex,race,h,l,call,city,kind,adid,fracblack,fracwhite,lmedhhinc,fracdropout,fraccolp,linc,col,expminreq,schoolreq,eoe,parent_sales,parent_emp,branch_sales,branch_emp,fed,fracblack_empzip,fracwhite_empzip,lmedhhinc_empzip,fracdropout_empzip,fraccolp_empzip,linc_empzip,manager,supervisor,secretary,offsupport,salesrep,retailsales,req,expreq,comreq,educreq,compreq,orgreq,manuf,transcom,bankreal,trade,busservice,othservice,missind,ownership,black,female,adm,boston,college,zyearsexp,zofjobs,sumq,zsumq,sumq_med,half,qall,qallxb,qblack,qblackxb,qwhite,qwhitexb,qall_med,qallxb_med,qblack_med,qblackxb_med,qwhite_med,qwhitexb_med
4267,b,7,4,6,7,0,0,0,0,313,5,1,1,1,1,Tamika,f,b,1.0,0.0,0.0,c,a,1219.0,0.016486628,0.74498945,10.242421,0.23819552,0.13857372,9.446835,1.0,some,,1.0,58.7,918.0,,,1.0,0.045274884,0.89817643,10.795178,0.030812073,0.59001076,11.07866,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Nonprofit,1,1,1,0,0,-0.16709231011458517,1.9182621588601458,3.832907689885415,0.3648392591221703,1,1,0.15530868361647238,0.15530868361647238,0.11529533976862444,0.12476058139436935,0.19134950902515813,0.18135202731312539,1,1,1,1,1,1
1533,238,18,4,4,6,0,0,0,0,285,4,1,0,1,0,Leroy,m,b,0.0,1.0,0.0,b,s,84.0,0.72772217,0.09640764,9.819562,0.23958375,0.08863283,9.081825,1.0,1,,1.0,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Public,1,0,0,1,0,-0.3653236256463829,0.2777429361629978,1.6346763743536172,-0.8974155979390274,0,1,0.03822182636968442,0.03822182636968442,0.03409452673530628,0.0607252385739833,0.04066042320108677,0.06282422233168741,0,0,0,1,0,0
3392,b,4,4,3,6,0,0,0,1,17,1,0,0,1,1,Allison,f,w,0.0,1.0,0.0,c,a,1065.0,0.052359965,0.78635854,10.435556,0.13011211,0.28431484,9.743378,1.0,some,,0.0,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0,1,1,0,0,-0.3653236256463829,-0.5425166751855762,2.6346763743536172,-0.32320175240665583,0,1,0.11016869863667944,0.11016869863667944,0.10441289443045082,0.09830358021528751,0.11936752999920408,0.06799908292405667,1,1,1,1,1,0
2466,b,252,3,5,4,0,0,0,1,443,4,0,0,1,1,Ebony,f,b,0.0,1.0,0.0,b,a,894.0,0.72772217,0.09640764,9.819562,0.23958375,0.08863283,9.081825,0.0,,,0.0,,,,,0.0,0.02834467,0.8949357,10.696955,0.0835223,0.39644748,9.994014,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Private,1,1,1,1,0,-0.7617862567099783,1.0980025475115718,2.2382137432900215,-0.550856084399565,0,1,0.10382416087751722,0.10382416087751722,0.09639998124870913,0.09048958722830425,0.11433755950702146,0.13472411697134007,1,1,1,1,1,1
667,b,12,3,4,21,0,1,0,1,313,5,0,1,1,0,Lakisha,f,b,1.0,0.0,0.0,c,a,542.0,0.95459735,0.042803545,10.276773,0.19744441,0.10937959,9.304468,0.0,,,1.0,,149.0,,,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Private,1,1,1,0,0,2.6081461073305827,0.2777429361629978,6.608146107330583,1.9584195830725333,1,1,0.08963715187484023,0.08963715187484023,0.09521722268030652,0.09346327324359649,0.08840292190154886,0.05421199183759145,1,1,1,1,1,0
1170,b,156,3,3,4,0,1,0,1,33,1,1,1,1,1,Ebony,f,b,1.0,0.0,0.0,b,a,640.0,0.14484343,0.71607727,9.967776,0.06885808,0.263203,9.643809,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,0,-0.7617862567099783,-0.5425166751855762,5.2382137432900215,1.1717854521975497,1,1,0.13950151412886563,0.13950151412886563,0.11405005268488722,0.10038951996361861,0.16350776408521872,0.2156793202330381,1,1,1,1,1,1
2528,418,26,4,4,2,0,1,1,0,267,4,1,1,1,0,Matthew,m,w,1.0,0.0,0.0,b,s,249.0,0.43639466,0.3334244,9.967448,0.18040287,0.1447593,9.17378,1.0,,,0.0,17.5,110.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Private,0,0,0,1,0,-1.158248887773574,0.2777429361629978,3.841751112226426,0.369917274672269,1,1,0.026432855435054546,0.026432855435054546,0.008156115091403406,0.009110146748743029,0.04802886800804562,0.08107997105874548,0,0,0,0,0,1
753,b,13,4,3,4,0,0,0,0,379,6,1,1,1,0,Kristen,f,w,1.0,0.0,0.0,c,a,556.0,0.08073567,0.88837385,10.408828,0.23368677,0.087285355,9.532859,1.0,,,0.0,48.0,7200.0,48.0,7200.0,0.0,0.01740379,0.9250431,10.688917,0.08081562,0.24275321,9.8213005,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Private,0,1,1,0,0,-0.7617862567099783,-0.5425166751855762,2.2382137432900215,-0.550856084399565,0,1,0.05863549513749431,0.05863549513749431,0.03963287354211712,0.037065816123034584,0.07696282002083665,0.07487107816827487,0,0,0,0,1,0
2650,332,28,4,4,2,0,1,1,0,267,4,1,1,1,0,Kristen,f,w,1.0,0.0,0.0,b,s,168.0,0.43639466,0.3334244,9.967448,0.18040287,0.1447593,9.17378,1.0,some,,0.0,,,,,0.0,0.09650378,0.70962995,10.137056,0.11179718,0.2983848,9.5828,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Private,0,1,0,1,0,-1.158248887773574,0.2777429361629978,3.841751112226426,0.369917274672269,1,1,0.026432855435054546,0.026432855435054546,0.008156115091403406,0.016004617930368524,0.04802886800804562,0.06831762598053905,0,0,0,0,0,0
1065,b,15,4,4,8,0,1,0,1,195,1,0,1,1,0,Tanisha,f,b,1.0,0.0,0.0,c,a,617.0,0.45430297,0.27144918,9.895607,0.24814151,0.15117194,9.291091,1.0,3,somcol,0.0,,,,,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Private,1,1,1,0,0,0.031139005417212574,0.2777429361629978,4.031139005417213,0.4786664251186249,1,1,0.05858452198815674,0.05858452198815674,0.054213435296335245,0.029702092801487816,0.06460639697829497,0.049713268623882305,0,0,1,0,0,0
1563,b,184,2,5,19,0,1,0,0,22,1,0,1,0,0,Tamika,f,b,1.0,0.0,1.0,b,a,716.0,0.090286106,0.7915025,10.597809,0.08046371,0.5225287,10.567103,0.0,,,0.0,7.5,50.0,7.5,50.0,0.0,0.0,0.9627329,11.11929,0.0,0.78012425,11.039749,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Private,1,1,1,1,0,2.2116834762669875,1.0980025475115718,4.2116834762669875,0.5823375600148811,1,1,0.08673444105403849,0.08673444105403849,0.07163473040037813,0.05485983549612691,0.09796563996294078,0.08617146401365822,1,1,1,1,1,1
917,b,14,3,5,3,0,1,0,1,34,1,1,1,1,0,Kristen,f,w,1.0,0.0,0.0,c,a,590.0,0.07601943,0.44090852,9.986772,0.27527726,0.084796116,9.041803,0.0,some,,0.0,30.1,80.0,,,0.0,0.018615117,0.8824793,10.804055,0.064078964,0.29323924,9.988655,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Nonprofit,0,1,1,0,0,-0.9600175722417761,1.0980025475115718,4.039982427758224,0.4837444406687236,1,1,0.054739530806557475,0.054739530806557475,0.04309464421019995,0.023629843053714784,0.06585585211582902,0.027830582940313944,0,0,0,0,0,0
33,b,1,4,3,6,1,0,0,1,323,6,1,1,1,0,Latonya,f,b,1.0,0.0,0.0,c,a,393.0,0.51218235,0.2988992,9.66288,0.25743797,0.035784647,8.733272,1.0,,,0.0,,,,,,0.19882353,0.5691676,10.068281,0.13971142,0.2880133,9.647498,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,1,1,0,0,-0.3653236256463829,-0.5425166751855762,4.634676374353617,0.8252259386580874,1,1,0.10633640391107385,0.10633640391107385,0.06116640363106779,0.057797450367057635,0.1445496271001852,0.12552268765952657,1,1,1,1,1,1
413,a,105b,4,4,20,0,1,0,0,267,4,0,0,0,0,Emily,f,w,1.0,0.0,1.0,b,s,293.0,0.43639466,0.3334244,9.967448,0.18040287,0.1447593,9.17378,1.0,,,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Private,0,1,0,1,0,2.4099147917987853,0.2777429361629978,3.4099147917987853,0.12195088047896412,0,1,0.05662782811734175,0.05662782811734175,0.05993890044180778,0.045596402259115425,0.05226110248174415,0.06204936425729377,0,0,1,0,0,0
1297,b,166,4,6,9,0,1,0,1,285,3,1,1,1,0,Jill,f,w,1.0,0.0,0.0,b,a,665.0,0.18953584,0.66560185,10.342871,0.17312811,0.13605343,9.4743185,1.0,,,1.0,9.9,87.0,,,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Private,0,1,1,1,0,0.2293703209490103,1.9182621588601458,5.229370320949011,1.166707436647451,1,1,0.06716302139436987,0.06716302139436987,0.05714148227484311,0.05238469648834309,0.07628488971960422,0.08167994838518605,1,1,1,0,0,1
3349,b,4,4,3,2,0,0,0,0,317,6,0,0,1,1,Sarah,f,w,0.0,1.0,0.0,c,s,1051.0,0.9714688,0.024071502,9.92974,0.17001754,0.14969294,9.321793,1.0,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0,1,0,0,0,-1.158248887773574,-0.5425166751855762,0.8417511122264261,-1.3527242619248454,0,1,0.08194759091851134,0.08194759091851134,0.07631200814886907,0.06740080961390628,0.08790346768138418,0.10265098026808622,1,1,1,1,1,1
4747,b,9,3,4,5,0,0,0,0,185,1,1,0,1,0,Sarah,f,w,0.0,1.0,0.0,c,a,1324.0,0.95459735,0.042803545,10.276773,0.19744441,0.10937959,9.304468,0.0,,,0.0,,,,,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Private,0,1,1,0,0,-0.5635549411781806,0.2777429361629978,1.4364450588218194,-1.011242763935482,0,1,0.036814030916605095,0.036814030916605095,0.032407978911755016,0.022886386533169364,0.03955400102067056,0.02008832171411397,0,0,0,0,0,0
4060,b,6,4,4,11,0,0,0,1,329,6,0,0,1,0,Aisha,f,b,0.0,1.0,0.0,c,a,1181.0,0.8321389,0.1387261,9.692643,0.21779244,0.1583671,9.240676,1.0,,,0.0,1221.7,1500.0,,,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Private,1,1,1,0,0,0.6258329520126058,0.2777429361629978,2.6258329520126056,-0.328279767956755,0,1,0.05046847795361637,0.05046847795361637,0.05146996650746741,0.048154675069727364,0.05170685073412029,0.03395388825297476,0,0,0,0,0,0
1575,b,187,3,5,26,1,1,0,1,313,6,0,1,1,1,Latoya,f,b,1.0,0.0,0.0,b,a,719.0,0.011417697,0.9559943,10.511049,0.16841103,0.40699333,10.386931,0.0,,,0.0,4.8,10.0,,,0.0,0.090286106,0.7915025,10.597809,0.08046371,0.5225287,10.567103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Public,1,1,1,1,0,3.5993026849895715,1.0980025475115718,9.59930268498957,3.675983104119548,1,1,0.28497976247819146,0.28497976247819146,0.26575318291858224,0.27941690829994964,0.28894755484790946,0.37643805350014625,1,1,1,1,1,1
889,b,14,4,4,11,0,1,0,1,379,6,0,1,1,1,Tamika,f,b,1.0,0.0,0.0,c,a,583.0,0.9920427,0.004814288,8.841738,0.29509342,0.05318167,8.507345,1.0,8,,1.0,,,,,,0.045274884,0.89817643,10.795178,0.030812073,0.59001076,11.07866,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,1,1,0,0,0.6258329520126058,0.2777429361629978,5.625832952012606,1.3943617686403598,1,1,0.15520471465745234,0.15520471465745234,0.14704751546381167,0.16220618436759388,0.16743623857587325,0.1322324549710438,1,1,1,1,1,1
4502,b,8,4,4,3,0,1,0,1,379,6,0,1,1,1,Allison,f,w,1.0,0.0,0.0,c,a,1273.0,0.51218235,0.2988992,9.66288,0.25743797,0.035784647,8.733272,1.0,some,,1.0,150.9,3200.0,,,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Public,0,1,1,0,0,-0.9600175722417761,0.2777429361629978,4.039982427758224,0.4837444406687236,1,1,0.12464598797037779,0.12464598797037779,0.10909785042458364,0.11734181749139622,0.14302130237333172,0.11878325881554347,1,1,1,1,1,1
4196,b,7,3,3,8,0,0,0,0,313,5,1,1,1,0,Ebony,f,b,1.0,0.0,0.0,c,a,1198.0,0.003418689,0.9049973,10.310918,0.21380211,0.14222752,9.557964,0.0,3,,1.0,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,1,1,0,0,0.031139005417212574,-0.5425166751855762,3.0311390054172125,-0.09554742041374692,0,1,0.0671344739897827,0.0671344739897827,0.048067947208154854,0.05231449405034006,0.08463505143588818,0.07534766333666967,1,1,0,0,1,0
467,b,11,3,3,6,0,0,0,0,313,5,1,1,1,0,Meredith,f,w,1.0,0.0,0.0,c,a,500.0,0.19882353,0.5691676,10.068281,0.13971142,0.2880133,9.647498,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,1,1,0,0,-0.3653236256463829,-0.5425166751855762,2.6346763743536172,-0.32320175240665583,0,1,0.06277296531522765,0.06277296531522765,0.04368636047395777,0.040062351773747784,0.08073012966662585,0.0725979009726874,0,0,0,0,1,0
1484,b,18,3,4,9,0,1,0,1,313,5,0,1,1,1,Kristen,f,w,1.0,0.0,0.0,c,a,703.0,0.049821846,0.84764427,10.3771715,0.09828269,0.4448947,10.201999,0.0,5,,0.0,42.9,500.0,42.9,500.0,0.0,0.3361651,0.63736963,10.431908,0.108847864,0.40657592,10.412141,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Private,0,1,1,0,0,0.2293703209490103,0.2777429361629978,5.229370320949011,1.166707436647451,1,1,0.14713734939679485,0.14713734939679485,0.13681956843217796,0.19363445322053685,0.16109430912803402,0.10445511309192251,1,1,1,1,1,1
2356,416,24,4,3,7,0,0,0,1,274,4,0,0,0,0,Lakisha,f,b,0.0,1.0,0.0,b,s,247.0,0.18953584,0.66560185,10.342871,0.17312811,0.13605343,9.4743185,1.0,,,0.0,820.0,,37.5,100.0,0.0,0.014103373,0.9619839,10.549412,0.15324613,0.2075717,9.678968,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Private,1,1,0,1,0,-0.16709231011458517,-0.5425166751855762,0.8329076898854149,-1.3578022774749445,0,1,0.055322655867895816,0.055322655867895816,0.040206920268498196,0.03713137844340361,0.07046341573920768,0.11798473391119624,0,0,0,0,0,1
3266,b,4,4,3,4,0,1,1,0,17,1,0,1,0,1,Brett,m,w,1.0,0.0,0.0,c,s,1026.0,0.0145169925,0.97367543,10.565582,0.11620284,0.15647578,9.718663,1.0,2,,1.0,310.0,2000.0,,,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Public,0,0,0,0,0,-0.7617862567099783,-0.5425166751855762,3.2382137432900215,0.023357761132806593,0,1,0.0902465014402501,0.0902465014402501,0.028831711979682848,0.0400769950220306,0.16092051482250458,0.09906160480669957,1,1,0,0,1,1
4134,a,62b,4,4,6,0,0,0,0,285,4,1,0,1,0,Greg,m,w,0.0,1.0,0.0,b,s,353.0,0.0033358606,0.9816528,10.299677,0.19075057,0.32843062,10.003831,1.0,some,,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Private,0,0,0,1,0,-0.3653236256463829,0.2777429361629978,1.6346763743536172,-0.8974155979390274,0,1,0.03822182636968442,0.03822182636968442,0.03409452673530628,0.0607252385739833,0.04066042320108677,0.06282422233168741,0,0,0,1,0,0
3276,b,4,4,3,7,0,0,0,1,263,4,0,0,0,0,Jermaine,m,b,0.0,1.0,1.0,c,s,1028.0,0.9714688,0.024071502,9.92974,0.17001754,0.14969294,9.321793,1.0,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,0,0,0,0,-0.16709231011458517,-0.5425166751855762,0.8329076898854149,-1.3578022774749445,0,1,0.055322655867895816,0.055322655867895816,0.040206920268498196,0.03088749312175414,0.07046341573920768,0.052275242283683444,0,0,0,0,0,0
1073,b,15,3,4,6,0,0,0,0,185,1,1,0,1,0,Tanisha,f,b,0.0,1.0,0.0,c,a,619.0,0.049821846,0.84764427,10.3771715,0.09828269,0.4448947,10.201999,0.0,,,0.0,,,,,0.0,0.006230256,0.833582,10.515479,0.13342401,0.262636,9.863707,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1,1,1,0,0,-0.3653236256463829,0.2777429361629978,1.6346763743536172,-0.8974155979390274,0,1,0.03822182636968442,0.03822182636968442,0.03409452673530628,0.016262064625298316,0.04066042320108677,0.02787818515217178,0,0,0,0,0,0
